Description,Year,Bank,Amount,Type
Interest Income,2018,KCB,66280,Income Statement
Total Interest Expense,2018,KCB,17450,Income Statement
Net Interest Income,2018,KCB,48830,Income Statement
Non-Interest Income,2018,KCB,23802,Income Statement
Non-Interest Expense,2018,KCB,34931,Income Statement
Operating Income,2018,KCB,34357,Income Statement
Income Taxes,2018,KCB,9864,Income Statement
Consolidated Net Income,2018,KCB,23995,Income Statement
Basic Shares Outstanding,2018,KCB,3066,Income Statement
Diluted Shares Outstanding,2018,KCB,3066,Income Statement
Interest Income,2019,KCB,79644,Income Statement
Total Interest Expense,2019,KCB,18684,Income Statement
Net Interest Income,2019,KCB,60960,Income Statement
Non-Interest Income,2019,KCB,23811,Income Statement
Non-Interest Expense,2019,KCB,44068,Income Statement
Operating Income,2019,KCB,36739,Income Statement
Income Taxes,2019,KCB,11732,Income Statement
Consolidated Net Income,2019,KCB,25165,Income Statement
Basic Shares Outstanding,2019,KCB,3213,Income Statement
Diluted Shares Outstanding,2019,KCB,3213,Income Statement
Interest Income,2020,KCB,96261,Income Statement
Total Interest Expense,2020,KCB,21209,Income Statement
Net Interest Income,2020,KCB,75052,Income Statement
Non-Interest Income,2020,KCB,21144,Income Statement
Non-Interest Expense,2020,KCB,43066,Income Statement
Operating Income,2020,KCB,25621,Income Statement
Income Taxes,2020,KCB,6115,Income Statement
Consolidated Net Income,2020,KCB,19604,Income Statement
Basic Shares Outstanding,2020,KCB,3213,Income Statement
Diluted Shares Outstanding,2020,KCB,3213,Income Statement
Interest Income,2021,KCB,114826,Income Statement
Total Interest Expense,2021,KCB,24463,Income Statement
Net Interest Income,2021,KCB,90363,Income Statement
Non-Interest Income,2021,KCB,19780,Income Statement
Non-Interest Expense,2021,KCB,49295,Income Statement
Operating Income,2021,KCB,46850,Income Statement
Income Taxes,2021,KCB,13642,Income Statement
Consolidated Net Income,2021,KCB,34173,Income Statement
Basic Shares Outstanding,2021,KCB,3213,Income Statement
Diluted Shares Outstanding,2021,KCB,3213,Income Statement
Interest Income,2022,KCB,132003,Income Statement
Total Interest Expense,2022,KCB,31098,Income Statement
Net Interest Income,2022,KCB,100905,Income Statement
Non-Interest Income,2022,KCB,30133,Income Statement
Non-Interest Expense,2022,KCB,63716,Income Statement
Operating Income,2022,KCB,57022,Income Statement
Income Taxes,2022,KCB,16494,Income Statement
Consolidated Net Income,2022,KCB,40837,Income Statement
Basic Shares Outstanding,2022,KCB,3213,Income Statement
Diluted Shares Outstanding,2022,KCB,3213,Income Statement
Interest Income,2018,NCBA,21000,Income Statement
Total Interest Expense,2018,NCBA,8716,Income Statement
Net Interest Income,2018,NCBA,12283,Income Statement
Non-Interest Income,2018,NCBA,3917,Income Statement
Non-Interest Expense,2018,NCBA,7044,Income Statement
Operating Income,2018,NCBA,5820,Income Statement
Income Taxes,2018,NCBA,1594,Income Statement
Consolidated Net Income,2018,NCBA,4228,Income Statement
Basic Shares Outstanding,2018,NCBA,774,Income Statement
Diluted Shares Outstanding,2018,NCBA,774,Income Statement
